phase,metric,is_direct_outcome_metric,is_construct_overlap_metric,n_successful,mean_successful,n_semi_successful,mean_semi_successful,n_unsuccessful_dialogue,mean_unsuccessful_dialogue,min_value,max_value,overall_mean,overall_median
natural_language_generation,nlg_generation_acceptance_rate,False,False,409,0.008423471882640586,19,0.008094736842105262,24,0.0,0.0,0.1667,0.007962389380530973,0.0
natural_language_generation,nlg_guard_intervention_rate,False,True,409,0.9852863080684596,19,0.9789473684210527,24,0.041666666666666664,0.0,1.0,0.9349161504424779,1.0
natural_language_generation,nlg_hidden_reasoning_leakage_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
natural_language_generation,nlg_information_order_accuracy,False,False,409,0.02880880195599022,19,0.010526315789473684,0,,0.0,0.5,0.02799719626168224,0.0
natural_language_generation,nlg_lexical_diversity,False,False,409,0.387359413202934,19,0.4641947368421052,24,0.7441291666666667,0.2677,1.0,0.40953274336283185,0.3884
natural_language_generation,nlg_meteor,False,False,409,0.49547066014669927,19,0.018794736842105263,24,0.020758333333333333,0.0,1.0,0.4502274336283186,0.5434
natural_language_generation,nlg_model_delivery_rate,False,False,409,0.014713691931540342,19,0.021052631578947368,24,0.0,0.0,0.25,0.014198893805309736,0.0
natural_language_generation,nlg_prompt_repair_rate,False,False,409,0.513819804400978,19,0.6547,24,0.027779166666666664,0.0,0.6667,0.49393429203539824,0.5
natural_language_generation,nlg_repetition_rate,False,False,409,0.32662616136919315,19,0.3696315789473684,24,0.060700000000000004,0.0,0.5143,0.3143139380530973,0.3333
natural_language_generation,nlg_rouge_l,False,False,409,0.5229146699266504,19,0.020594736842105263,24,0.0414,0.0,1.0,0.4762323008849558,0.566
natural_language_generation,nlg_route_mention_completeness,False,False,409,0.48372347188264053,19,0.05263157894736842,24,0.0,0.0,1.0,0.43991792035398225,0.3333
natural_language_generation,nlg_semantic_adequacy,False,False,409,0.43999633251833736,19,0.04858421052631579,24,0.0,0.0,1.0,0.4001805309734513,0.3077
natural_language_generation,nlg_semantic_similarity,False,False,409,0.4190733496332519,19,0.01263157894736842,24,0.025554166666666666,0.0,1.0,0.38109358407079647,0.381
natural_language_generation,nlg_slot_error_rate,False,False,409,0.5600036674816626,19,0.9514157894736841,24,1.0,0.0,1.0,0.5998194690265487,0.6923
natural_language_generation,nlg_underspecification_rate,False,False,409,0.13230684596577016,19,0.5168578947368421,24,0.9864583333333333,0.0,1.0,0.19382477876106194,0.1667
natural_language_understanding,nlu_constraint_extraction_f1,False,False,409,0.9082161369193154,19,0.9466526315789473,24,0.0,0.0,1.0,0.8616079646017699,1.0
