source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260713_211256_b-n0001_02,C-MPCC-AR-CLEAN-PIP-FWH-QQ57I-PAP-LRG-I0-ab7bd7ec78-A,not_started,audio_variant,morning_peak_cross_city,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211313_b-n0001,C-AC-FC-CLEAN-PIP-FWH-QQ57I-DEFAU-LRG-I0-f17a102ed9-T,not_started,text_only,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260713_211331_b-n0001,C-HA-RAN-MC-PIP-FWH-QQ57I-PSS-LRG-I0-88f9850e8c-T,not_started,text_only,hospital_appointment,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211332_b-n0001,C-MT-CAR-SC-PIP-FWH-QQ57I-PCC-LRG-I0-8e70002baf-T,not_started,text_only,midday_transfer,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211345_b-n0001,C-AC-FC-CLEAN-PIP-FWH-QQ57I-DEFAU-LRG-I0-f17a102ed9-A,not_started,audio_variant,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260713_211405_b-n0001,C-HA-RAN-MC-PIP-FWH-QQ57I-PSS-LRG-I0-88f9850e8c-A,not_started,audio_variant,hospital_appointment,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211406_b-n0001,C-MT-CAR-SC-PIP-FWH-QQ57I-PCC-LRG-I0-8e70002baf-A,not_started,audio_variant,midday_transfer,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211416_b-n0001,C-AC-DST-HESIT-PIP-FWH-QQ57I-DEFAU-LRG-I0-adaad1684f-T,not_started,text_only,airport_connection,delay_sensitive_traveler,,,,,,,,,,,,,,,,
20260713_211437_b-n0001,C-HA-AR-CLEAN-PIP-FWH-QQ57I-PAD-LRG-I0-e14bfca0b7-T,not_started,text_only,hospital_appointment,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211437_b-n0001_02,C-AC-FC-SC-PIP-FWH-QQ57I-PCP-LRG-I0-5a13757879-T,not_started,text_only,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260713_211446_b-n0001,C-AC-DST-HESIT-PIP-FWH-QQ57I-DEFAU-LRG-I0-adaad1684f-A,not_started,audio_variant,airport_connection,delay_sensitive_traveler,,,,,,,,,,,,,,,,
20260713_211515_b-n0001,C-HA-AR-CLEAN-PIP-FWH-QQ57I-PAD-LRG-I0-e14bfca0b7-A,not_started,audio_variant,hospital_appointment,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211517_b-n0001,C-AC-FC-SC-PIP-FWH-QQ57I-PCP-LRG-I0-5a13757879-A,not_started,audio_variant,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260713_211517_b-n0001_02,C-AC-RAN-SC-PIP-VOS-QQ57I-DEFAU-LRG-I0-bc081c098a-T,not_started,text_only,airport_connection,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211556_b-n0001,C-AC-RAN-SC-PIP-VOS-QQ57I-DEFAU-LRG-I0-bc081c098a-A,not_started,audio_variant,airport_connection,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211556_b-n0001_02,C-MDE-FC-CLEAN-PIP-FWH-QQ57I-PCC-LRG-I0-076900ff64-T,not_started,text_only,multi_destination_errands,focused_commuter,,,,,,,,,,,,,,,,
20260713_211600_b-n0001,C-AC-AR-HESIT-PIP-FWH-QQ57I-PCC-LRG-I0-d94d1c6fbe-T,not_started,text_only,airport_connection,accessibility_rider,,,,,,,,,,,,,,,,
