source_run,condition_id,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,clean,6,speech_pipeline,9,76.692628,8.52140311111111,12.680265,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,hesitant,1,natural_language_generation,9,438.511598,48.72351088888889,84.784107,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,hesitant,2,text_to_speech,9,13.362616,1.4847351111111111,2.135807,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,hesitant,3,automatic_speech_recognition,9,0.250646,0.027849555555555554,0.042854,1.0,0,0,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,hesitant,4,natural_language_understanding,4,0.037565,0.00939125,0.012159,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,hesitant,5,dialogue_management,4,0.016099000000000002,0.0040247500000000005,0.005714,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,hesitant,6,speech_pipeline,9,13.619917,1.513324111111111,2.171645,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,hesitant,1,natural_language_generation,9,3129.566333,347.7295925555556,760.416633,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,hesitant,2,text_to_speech,9,21.55986,2.39554,5.014759,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,hesitant,3,automatic_speech_recognition,9,41.474898,4.608322,7.338468,1.0,0,11,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,hesitant,4,natural_language_understanding,4,0.071391,0.01784775,0.026139,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,hesitant,5,dialogue_management,4,3.861748,0.965437,3.848268,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,hesitant,6,speech_pipeline,9,63.123451,7.013716777777778,12.353868,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,noisy_station,1,natural_language_generation,9,447.377786,49.70864288888889,86.907432,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,noisy_station,2,text_to_speech,9,14.933806,1.659311777777778,2.498991,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,noisy_station,3,automatic_speech_recognition,9,0.300053,0.03333922222222222,0.051191,1.0,0,0,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,noisy_station,4,natural_language_understanding,4,0.015886,0.0039715,0.006894,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,noisy_station,5,dialogue_management,4,0.047167,0.01179175,0.015156,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,noisy_station,6,speech_pipeline,9,15.241141,1.6934601111111112,2.542984,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,noisy_station,1,natural_language_generation,9,491.625926,54.62510288888889,99.566715,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,noisy_station,2,text_to_speech,9,23.908053,2.6564503333333334,4.898243,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,noisy_station,3,automatic_speech_recognition,9,44.898182,4.988686888888889,7.475327,1.0,0,4,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,noisy_station,4,natural_language_understanding,4,0.025737,0.00643425,0.011026,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,noisy_station,5,dialogue_management,4,3.201142,0.8002855,3.163159,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-872e51c882-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,noisy_station,6,speech_pipeline,9,68.813604,7.645956,12.374276,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-LE-VP-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-17888f5f01-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,late_event,verbose_planner,clean,1,natural_language_generation,13,477.334423,36.71803253846154,88.385512,,,,,,,runtime event telemetry; no retrospective substitution
